Number;Chemical name;Chemical Formula;Monoisotopic mass;[M+H]+;[M-H]-;Smile Code;INCHi;Source
3051;Enrofloxacin-R002;;315.17469;316.182515;314.166865;;;
3052;Enrofloxacin-R003;;317.11757;318.125395;316.109745;;;
3053;Enrofloxacin-R004;;317.153955;318.16178;316.14613;;;
3054;Enrofloxacin-R005;;327.17469;328.182515;326.166865;;;
3055;Enrofloxacin-R006;;331.13322;332.141045;330.125395;;;
3056;Enrofloxacin-R007;;343.169605;344.17743;342.16178;;;
3057;Enrofloxacin-R008;;345.14887;346.156695;344.141045;;;
3058;Enrofloxacin-R009;;345.185255;346.19308;344.17743;;;
3059;Enrofloxacin-R010;;361.18017;362.187995;360.172345;;;
3060;Enrofloxacin-R011;;361.18017;362.187995;360.172345;;;
3061;Enrofloxacin-R012;;373.143785;374.15161;372.13596;;;
3062;Enrofloxacin-R013;;373.18017;374.187995;372.172345;;;
3063;Enrofloxacin-R014;;375.159435;376.16726;374.15161;;;
3064;Enrofloxacin-R015;;375.159435;376.16726;374.15161;;;
3065;Enrofloxacin-R016;;375.159435;376.16726;374.15161;;;
3066;Enrofloxacin-R017;;375.159435;376.16726;374.15161;;;
3067;Enrofloxacin-R018;;387.19582;388.203645;386.187995;;;
3068;Enrofloxacin-R019;;389.1387;390.146525;388.130875;;;
3069;Enrofloxacin-R020;;391.15435;392.162175;390.146525;;;
3070;Enrofloxacin-R021;;391.15435;392.162175;390.146525;;;
3071;Enrofloxacin-R022;;393.17;394.177825;392.162175;;;
3072;Enrofloxacin-R023;;401.175085;402.18291;400.16726;;;
3073;Enrofloxacin-R024;;401.21147;402.219295;400.203645;;;
3074;Enrofloxacin-R025;;403.15435;404.162175;402.146525;;;
3075;Enrofloxacin-R026;;407.149265;408.15709;406.14144;;;
3076;Enrofloxacin-R027;;416.185984;417.193809;415.178159;;;
3077;Enrofloxacin-R028;;430.201634;431.209459;429.193809;;;
3078;Enrofloxacin-R029;;432.180899;433.188724;431.173074;;;
3079;Enrofloxacin-R030;;439.121337;440.129162;438.113512;;;
3080;Enrofloxacin-R031;;446.196549;447.204374;445.188724;;;
3081;Enrofloxacin-R032;;455.116252;456.124077;454.108427;;;
3082;Enrofloxacin-R033;;456.217284;457.225109;455.209459;;;
3083;Enrofloxacin-R034;;458.232934;459.240759;457.225109;;;
3084;Enrofloxacin-R035;;460.212199;461.220024;459.204374;;;
3085;Enrofloxacin-R036;;462.191464;463.199289;461.183639;;;
3086;Enrofloxacin-R037;;462.173706;463.181531;461.165881;;;
3087;Enrofloxacin-R038;;472.212199;473.220024;471.204374;;;
3088;Enrofloxacin-R039;;472.248584;473.256409;471.240759;;;
3089;Enrofloxacin-R040;;472.248584;473.256409;471.240759;;;
3090;Enrofloxacin-R041;;473.207448;474.215273;472.199623;;;
3091;Enrofloxacin-R042;;474.215273;475.223098;473.207448;;;
3092;Enrofloxacin-R043;;474.227849;475.235674;473.220024;;;
3093;Enrofloxacin-R044;;476.207114;477.214939;475.199289;;;
